responseTime,prolificID,userID,questionNum,response,loadTime,questionID,selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,UID,selectedLabel,error,absError,correct,anchor,alignment,meanError,excludedError,excludedResponseError,meanTime,excludedTime,excludedResponseTime
8.287,65847ecf0896ca006d2c00b7,2,30.0,42,2025-04-22 17:56:13.253,127.0,39,near-aligned,far-anchor,11,4,1,100,57,line,2,G,3.0,3.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
6.68,65847ecf0896ca006d2c00b7,2,31.0,52,2025-04-22 17:56:21.643,128.0,52,far-from-aligned,far-anchor,2,11,2,75,12,pie,2,E,0.0,0.0,True,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
8.469,65847ecf0896ca006d2c00b7,2,32.0,22,2025-04-22 17:56:28.439,129.0,21,aligned,near-anchor,4,0,1,75,75,line,2,A,1.0,1.0,False,non-anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
8.581,65847ecf0896ca006d2c00b7,2,33.0,24,2025-04-22 17:56:37.020,130.0,24,aligned,near-anchor,1,0,1,100,76,line,2,G,0.0,0.0,True,non-anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
5.412,65847ecf0896ca006d2c00b7,2,34.0,26,2025-04-22 17:56:45.705,131.0,28,near-aligned,near-anchor,3,3,2,50,19,pie,2,G,-2.0,2.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
5.588,65847ecf0896ca006d2c00b7,2,35.0,25,2025-04-22 17:56:51.222,132.0,25,far-from-aligned,anchor,0,11,0,75 and 100,64,pie,2,F,0.0,0.0,True,anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.553,65847ecf0896ca006d2c00b7,2,36.0,26,2025-04-22 17:56:58.987,133.0,30,far-from-aligned,far-anchor,5,7,0,0,7,pie,2,C,-4.0,4.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
5.011,65847ecf0896ca006d2c00b7,2,37.0,52,2025-04-22 17:57:03.657,134.0,52,aligned,far-anchor,2,0,2,25,25,pie,2,D,0.0,0.0,True,non-anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
3.907,65847ecf0896ca006d2c00b7,2,38.0,48,2025-04-22 17:57:08.771,135.0,49,near-aligned,near-anchor,1,3,1,25,22,pie,2,C,-1.0,1.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
3.025,65847ecf0896ca006d2c00b7,2,39.0,50,2025-04-22 17:57:12.785,136.0,50,aligned,anchor,0,0,0,50 and 100,50,pie,2,A,0.0,0.0,True,anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
6.949,65847ecf0896ca006d2c00b7,2,40.0,19,2025-04-22 17:57:15.915,137.0,19,aligned,far-anchor,6,0,1,0,0,pie,2,E,0.0,0.0,True,non-anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
3.961,65847ecf0896ca006d2c00b7,2,41.0,24,2025-04-22 17:57:22.970,138.0,22,near-aligned,near-anchor,3,1,2,75,74,line,2,B,2.0,2.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.216,65847ecf0896ca006d2c00b7,2,42.0,50,2025-04-22 17:57:27.039,139.0,50,aligned,anchor,0,0,0,25 and 75,25,line,2,E,0.0,0.0,True,anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
5.939,65847ecf0896ca006d2c00b7,2,43.0,40,2025-04-22 17:57:31.360,140.0,40,aligned,far-anchor,10,0,0,0,0,line,2,A,0.0,0.0,True,non-anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.783,65847ecf0896ca006d2c00b7,2,44.0,22,2025-04-22 17:57:37.403,141.0,21,near-aligned,near-anchor,4,2,1,50 and 75,52,pie,2,E,1.0,1.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
5.723,65847ecf0896ca006d2c00b7,2,45.0,17,2025-04-22 17:57:42.287,142.0,16,far-from-aligned,far-anchor,9,8,1,75 and 75,67,line,2,D,1.0,1.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
5.594,65847ecf0896ca006d2c00b7,2,46.0,50,2025-04-22 17:57:48.108,143.0,49,near-aligned,near-anchor,1,3,1,25,22,line,2,G,1.0,1.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.882,65847ecf0896ca006d2c00b7,2,47.0,50,2025-04-22 17:57:53.807,144.0,49,near-aligned,near-anchor,1,3,1,50,47,line,2,F,1.0,1.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
5.577,65847ecf0896ca006d2c00b7,2,48.0,40,2025-04-22 17:58:01.908,145.0,50,far-from-aligned,anchor,0,12,0,50 and 100,38,line,2,C,-10.0,10.0,False,anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.451,65847ecf0896ca006d2c00b7,2,49.0,25,2025-04-22 17:58:07.586,146.0,24,near-aligned,near-anchor,1,2,1,50,28,pie,2,E,1.0,1.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.515,65847ecf0896ca006d2c00b7,2,50.0,26,2025-04-22 17:58:12.140,147.0,22,far-from-aligned,near-anchor,3,10,2,25,13,pie,2,B,4.0,4.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.986,65847ecf0896ca006d2c00b7,2,51.0,46,2025-04-22 17:58:16.771,148.0,47,aligned,near-anchor,3,0,2,100,53,pie,2,C,-1.0,1.0,False,non-anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
6.174,65847ecf0896ca006d2c00b7,2,52.0,46,2025-04-22 17:58:21.864,149.0,44,near-aligned,far-anchor,6,3,1,50,47,line,2,B,2.0,2.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
5.146,65847ecf0896ca006d2c00b7,2,53.0,42,2025-04-22 17:58:28.135,150.0,45,far-from-aligned,far-anchor,5,8,0,50,42,pie,2,E,-3.0,3.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
6.534,65847ecf0896ca006d2c00b7,2,54.0,23,2025-04-22 17:58:33.385,151.0,21,far-from-aligned,near-anchor,4,7,1,50,43,pie,2,E,2.0,2.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.911,65847ecf0896ca006d2c00b7,2,55.0,40,2025-04-22 17:58:40.021,152.0,33,far-from-aligned,far-anchor,8,8,2,50,9,line,2,F,7.0,7.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.533,65847ecf0896ca006d2c00b7,2,56.0,19,2025-04-22 17:58:45.039,153.0,16,near-aligned,far-anchor,9,3,1,75,56,pie,2,D,3.0,3.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
5.83,65847ecf0896ca006d2c00b7,2,57.0,27,2025-04-22 17:58:49.672,154.0,29,aligned,near-anchor,4,0,1,100,71,pie,2,A,-2.0,2.0,False,non-anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
5.0,62b7a7e776f241c59cf27ac9,8,1.0,41,2025-04-22 17:58:54.946,674.0,41,near-aligned,far-anchor,9,2,1,75,32,pie,8,F,0.0,0.0,True,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
5.986,65847ecf0896ca006d2c00b7,2,58.0,20,2025-04-22 17:58:55.605,155.0,20,near-aligned,far-anchor,5,2,0,75,73,pie,2,F,0.0,0.0,True,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
3.491,62b7a7e776f241c59cf27ac9,8,2.0,31,2025-04-22 17:59:00.034,675.0,33,near-aligned,far-anchor,8,2,2,100,65,line,8,G,-2.0,2.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
4.024,65847ecf0896ca006d2c00b7,2,59.0,25,2025-04-22 17:59:01.695,156.0,30,far-from-aligned,far-anchor,5,9,0,100,61,line,2,E,-5.0,5.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
2.544,62b7a7e776f241c59cf27ac9,8,3.0,25,2025-04-22 17:59:03.617,676.0,25,aligned,anchor,0,0,0,0 and 25,0,pie,8,C,0.0,0.0,True,anchor,aligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
3.245,62b7a7e776f241c59cf27ac9,8,4.0,24,2025-04-22 17:59:06.269,677.0,23,aligned,near-anchor,2,0,2,75,75,pie,8,B,1.0,1.0,False,non-anchor,aligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
2.989,62b7a7e776f241c59cf27ac9,8,5.0,51,2025-04-22 17:59:09.605,678.0,50,far-from-aligned,anchor,0,11,0,25 and 75,14,line,8,E,1.0,1.0,False,anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
3.407,62b7a7e776f241c59cf27ac9,8,6.0,21,2025-04-22 17:59:12.683,679.0,22,near-aligned,near-anchor,3,3,2,75,72,line,8,A,-1.0,1.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
4.044,62b7a7e776f241c59cf27ac9,8,7.0,38,2025-04-22 17:59:16.181,680.0,40,aligned,far-anchor,10,0,0,75,35,line,8,A,-2.0,2.0,False,non-anchor,aligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
2.857,62b7a7e776f241c59cf27ac9,8,8.0,15,2025-04-22 17:59:20.313,681.0,20,far-from-aligned,far-anchor,5,6,0,75,61,line,8,G,-5.0,5.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
2.064,62b7a7e776f241c59cf27ac9,8,9.0,25,2025-04-22 17:59:23.266,682.0,39,near-aligned,far-anchor,11,3,1,0,3,line,8,F,-14.0,14.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
4.008,62b7a7e776f241c59cf27ac9,8,10.0,20,2025-04-22 17:59:25.417,683.0,15,far-from-aligned,far-anchor,10,5,0,25 and 50,30,pie,8,D,5.0,5.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
2.956,62b7a7e776f241c59cf27ac9,8,11.0,25,2025-04-22 17:59:29.525,684.0,20,near-aligned,far-anchor,5,3,0,25,22,pie,8,E,5.0,5.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
4.993,65847ecf0896ca006d2c00b7,2,60.0,51,2025-04-22 17:59:32.938,157.0,50,near-aligned,anchor,0,3,0,0 and 50,3,line,2,B,1.0,1.0,False,anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.222,62b7a7e776f241c59cf27ac9,8,12.0,25,2025-04-22 17:59:39.060,685.0,24,aligned,near-anchor,1,0,1,50,50,pie,8,A,1.0,1.0,False,non-anchor,aligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
5.708,65847ecf0896ca006d2c00b7,2,61.0,48,2025-04-22 17:59:38.033,158.0,44,near-aligned,far-anchor,6,2,1,25,23,pie,2,A,4.0,4.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
2.623,62b7a7e776f241c59cf27ac9,8,13.0,32,2025-04-22 17:59:43.378,686.0,38,near-aligned,far-anchor,12,2,2,100,60,line,8,B,-6.0,6.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
3.768,62b7a7e776f241c59cf27ac9,8,14.0,48,2025-04-22 17:59:46.089,687.0,44,near-aligned,far-anchor,6,3,1,0 and 50,3,line,8,D,4.0,4.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
6.37,65847ecf0896ca006d2c00b7,2,62.0,34,2025-04-22 17:59:43.848,159.0,32,aligned,far-anchor,7,0,2,25,25,pie,2,A,2.0,2.0,False,non-anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
2.136,62b7a7e776f241c59cf27ac9,8,15.0,50,2025-04-22 17:59:49.945,688.0,48,aligned,near-anchor,2,0,2,0,0,pie,8,B,2.0,2.0,False,non-anchor,aligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
4.27,65847ecf0896ca006d2c00b7,2,63.0,46,2025-04-22 17:59:50.321,160.0,45,near-aligned,far-anchor,5,4,0,75,34,pie,2,C,1.0,1.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
3.208,62b7a7e776f241c59cf27ac9,8,16.0,50,2025-04-22 17:59:52.169,689.0,47,far-from-aligned,near-anchor,3,9,2,50,41,line,8,D,3.0,3.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
2.537,62b7a7e776f241c59cf27ac9,8,17.0,50,2025-04-22 17:59:55.465,690.0,50,aligned,anchor,0,0,0,50 and 100,50,line,8,C,0.0,0.0,True,anchor,aligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
4.191,65847ecf0896ca006d2c00b7,2,64.0,45,2025-04-22 17:59:54.690,161.0,42,aligned,far-anchor,8,0,2,0,0,line,2,B,3.0,3.0,False,non-anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
2.888,62b7a7e776f241c59cf27ac9,8,18.0,45,2025-04-22 17:59:58.089,691.0,46,far-from-aligned,near-anchor,4,5,1,50,45,line,8,A,-1.0,1.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
4.671,65847ecf0896ca006d2c00b7,2,65.0,49,2025-04-22 17:59:58.981,162.0,48,near-aligned,near-anchor,2,4,2,50,6,line,2,A,1.0,1.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
3.096,62b7a7e776f241c59cf27ac9,8,19.0,25,2025-04-22 18:00:01.065,692.0,28,near-aligned,near-anchor,3,1,2,0,1,line,8,C,-3.0,3.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
2.428,62b7a7e776f241c59cf27ac9,8,20.0,25,2025-04-22 18:00:04.249,693.0,24,near-aligned,near-anchor,1,2,1,75,73,pie,8,G,1.0,1.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
3.398,65847ecf0896ca006d2c00b7,2,66.0,25,2025-04-22 18:00:03.750,163.0,25,near-aligned,anchor,0,2,0,75 and 100,73,line,2,E,0.0,0.0,True,anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.528,62b7a7e776f241c59cf27ac9,8,21.0,60,2025-04-22 18:00:06.769,694.0,53,near-aligned,far-anchor,3,4,2,25,29,line,8,D,7.0,7.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
4.759,65847ecf0896ca006d2c00b7,2,67.0,27,2025-04-22 18:00:07.249,164.0,27,aligned,near-anchor,2,0,2,50,23,pie,2,E,0.0,0.0,True,non-anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
3.769,65847ecf0896ca006d2c00b7,2,68.0,24,2025-04-22 18:00:12.111,165.0,25,far-from-aligned,anchor,0,5,0,50 and 75,45,line,2,D,-1.0,1.0,False,anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.524,62b7a7e776f241c59cf27ac9,8,22.0,35,2025-04-22 18:00:11.389,695.0,26,far-from-aligned,near-anchor,1,11,1,100,63,pie,8,F,9.0,9.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
2.725,62b7a7e776f241c59cf27ac9,8,23.0,21,2025-04-22 18:00:15.997,696.0,16,far-from-aligned,far-anchor,9,5,1,25,20,pie,8,G,5.0,5.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
6.771,65847ecf0896ca006d2c00b7,2,69.0,29,2025-04-22 18:00:15.983,166.0,27,far-from-aligned,near-anchor,2,9,2,25,34,line,2,C,2.0,2.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
4.579,62b7a7e776f241c59cf27ac9,8,24.0,40,2025-04-22 18:00:19.862,697.0,40,aligned,far-anchor,10,0,0,50,10,pie,8,G,0.0,0.0,True,non-anchor,aligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
3.752,65847ecf0896ca006d2c00b7,2,70.0,52,2025-04-22 18:00:22.857,167.0,52,aligned,far-anchor,2,0,2,100,48,pie,2,E,0.0,0.0,True,non-anchor,aligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
2.439,62b7a7e776f241c59cf27ac9,8,25.0,20,2025-04-22 18:00:24.530,698.0,23,near-aligned,near-anchor,2,1,2,50,49,line,8,D,-3.0,3.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
2.036,62b7a7e776f241c59cf27ac9,8,26.0,50,2025-04-22 18:00:27.053,699.0,50,far-from-aligned,anchor,0,12,0,50 and 100,38,pie,8,A,0.0,0.0,True,anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
5.408,65847ecf0896ca006d2c00b7,2,71.0,34,2025-04-22 18:00:26.713,168.0,38,far-from-aligned,far-anchor,12,6,2,25,19,pie,2,G,-4.0,4.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
3.336,62b7a7e776f241c59cf27ac9,8,27.0,45,2025-04-22 18:00:29.177,700.0,47,far-from-aligned,near-anchor,3,11,2,25 and 50,14,pie,8,C,-2.0,2.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
2.544,62b7a7e776f241c59cf27ac9,8,28.0,35,2025-04-22 18:00:32.601,701.0,28,aligned,near-anchor,3,0,2,50,22,line,8,G,7.0,7.0,False,non-anchor,aligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
3.553,62b7a7e776f241c59cf27ac9,8,29.0,21,2025-04-22 18:00:35.233,702.0,22,far-from-aligned,near-anchor,3,10,2,25,15,line,8,B,-1.0,1.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
2.878,62b7a7e776f241c59cf27ac9,8,30.0,48,2025-04-22 18:00:38.883,703.0,45,aligned,far-anchor,5,0,0,0,0,pie,8,C,3.0,3.0,False,non-anchor,aligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
3.384,62b7a7e776f241c59cf27ac9,8,31.0,32,2025-04-22 18:00:41.849,704.0,36,far-from-aligned,far-anchor,11,6,1,75,33,line,8,B,-4.0,4.0,False,non-anchor,unaligned,3.8229166666666665,included,includedResponse,3.7945208333333333,included,includedResponse
4.505,65847ecf0896ca006d2c00b7,2,72.0,49,2025-04-22 18:00:41.554,169.0,47,near-aligned,near-anchor,3,1,2,25,24,line,2,F,2.0,2.0,False,non-anchor,unaligned,2.28125,included,includedResponse,5.239010416666667,included,includedResponse
